sample,solar_capex,wind_capex,battery_capex,diesel_opex,total_cost,solar_mw,solar_mwh,wind_mw,wind_mwh,diesel_mw,diesel_mwh,battery_mw,battery_discharge_mwh
0,599224.3300996587,1145722.7699203053,861167.0317155716,254.2279818922766,36526.392505482385,0.4115731264290123,379.2295858700289,0.029508205560294473,27.039987911694514,0.013562379110974144,10.52760194387619,0.13464133369441553,141.59693256811482
1,624781.7493889953,1416251.5317579908,311195.0587957404,235.3698541340251,29078.71401093955,0.4129241522249158,387.0739866247985,0.02044387017287448,19.00629599136656,0.013075015167350924,11.252293071024251,0.14900713303750665,146.55281426385483
2,694721.6789094114,1414287.8951773583,789745.893463611,276.30851217019233,39004.917218133436,0.41124517088127666,381.29109158329265,0.025799598152085428,23.74942335160671,0.014019849453542324,11.86000511113586,0.13431366461113467,142.55352999573677
3,810992.044229828,989544.95620979,422456.8775136076,226.95418229807476,34778.647465685455,0.3518635528357023,352.63870447133,0.05046350993266676,46.390056631139316,0.01596373772046703,16.284318136170487,0.13150653943188964,127.85952662471716
4,519585.5037022381,1038688.8414999703,768737.5659345209,206.18246819034576,32055.175227464246,0.41066195473996536,379.98899215405226,0.0279406660362479,25.647125887826093,0.01379802525750405,11.197226140874479,0.13446055143122726,141.93172264586596
5,781835.5208015584,1443512.5753985597,656338.8262875103,272.8771292273481,39491.51663128737,0.3906723876236346,373.69011860867016,0.031327145061349614,28.90618519685175,0.014498464932819258,13.867180215634116,0.1336415849900335,138.5081452526237
6,642136.9728563759,1387032.3036990867,332277.34626153664,269.1034714665707,30267.776648661624,0.4133608653226051,385.80297647547,0.022638379842537817,20.96468742676698,0.012885887442897015,10.484746922001275,0.14825453931605023,145.81077540423107
7,537198.149412294,1037046.4198874466,509962.8839716851,290.5545699629038,29430.808332286644,0.4158588741877224,376.9609704253479,0.03450831255854707,31.330828656301865,0.012771040927162946,8.393800021475963,0.13525766813328788,140.56413357547166
8,765186.7176954602,1187987.5589318243,608606.850470406,215.40947614778128,36812.36360764998,0.3634382697052921,363.4581684896201,0.036953251543003295,34.402854637901214,0.01574113021487318,18.00056475437696,0.13220200598112172,132.9367476559045
9,800670.7100169715,1301557.6025246182,758497.2864212738,233.8130569095997,40589.771596708844,0.3670740248540363,364.86974286820964,0.03628354757375031,33.73015950950114,0.015551693496283384,17.34558612481014,0.13241488233863535,133.71336622115535
