電源/リソース,適用コスト(代表値),コスト単位,最適容量[MW],容量比率[%],年間発電量[MWh],年間発電量比率[%]
Solar,49666.720109460715,$/MW/year,0.3815806059102594,67.04944900490932,366.7066597829703,91.33416179676267
Wind,79821.5144616333,$/MW/year,0.03967478005896411,6.971455312826172,36.421288894666546,9.071304826372263
Battery,67695.2460124892,$/MW/year,0.13325520962458287,23.414943642243816,135.0592535688719,33.638668370271574
Diesel,250.0,$/MWh,0.014592673073353388,2.5641520400206868,12.962940397075108,3.228627743736525
