timestamp,solar_mw,wind_mw,diesel_mw,battery_discharge_mw,battery_charge_mw,battery_soc_mwh,load_mw
2019-01-01 00:00:00,-0.0,0.003927803225837447,-0.0,0.005836339774162554,-0.0,0.15189043188453413,0.009764143000000001
2019-01-01 01:00:00,-0.0,0.0032533319648350573,-0.0,0.005493782035164943,-0.0,0.14610750342646578,0.008747114
2019-01-01 02:00:00,-0.0,0.003134307624658165,-0.0,0.009744832375341836,-0.0,0.13584978513663226,0.01287914
2019-01-01 03:00:00,-0.0,0.0033326815249529857,-0.0,0.012525688475047014,-0.0,0.12266484989974068,0.01585837
2019-01-01 04:00:00,-0.0,0.0035310554252478057,-0.0,0.03305920457475219,-0.0,0.08786568718947521,0.03659026
2019-01-01 05:00:00,-0.0,0.003808778885660555,-0.0,0.046330501114339444,-0.0,0.03909673864806528,0.05013928
2019-01-01 06:00:00,-0.0,0.004324551026427088,-0.0,0.03594998897357291,-0.0,0.001254644991672746,0.04027454
2019-01-01 07:00:00,0.03777647998511568,0.008609427272795213,-0.0,0.0011919127420891087,-0.0,-0.0,0.04757782
2019-01-01 08:00:00,0.05995713,-0.0,-0.0,0.0,-0.0,-0.0,0.05995713
2019-01-01 09:00:00,0.07023344000000001,-0.0,-0.0,0.0,-0.0,-0.0,0.07023344000000001
2019-01-01 10:00:00,0.04961539290313626,0.011346987096863735,-0.0,0.0,-0.0,-0.0,0.06096238
2019-01-01 11:00:00,0.1028557,-0.0,-0.0,0.0,-0.0,-0.0,0.1028557
2019-01-01 12:00:00,0.09854103900284145,0.011545360997158556,-0.0,0.0,-0.0,-0.0,0.1100864
2019-01-01 13:00:00,0.18271182046087775,-0.0,-0.0,0.0,0.10087472046087773,0.09583098443783383,0.08183710000000001
2019-01-01 14:00:00,0.1920669880702546,0.00964097155432828,-0.0,0.0,0.13325520962458287,0.22242343358118755,0.06845274999999999
2019-01-01 15:00:00,0.16075187625208248,0.008411053372500392,-0.0,0.0,0.13325520962458287,0.34901588272454126,0.03590772
2019-01-01 16:00:00,0.10607940844305212,0.006982761290377683,-0.0,0.0,0.05074385973342982,0.3972225494712996,0.06231830999999999
2019-01-01 17:00:00,0.0263290618078079,0.006070241349021509,-0.0,0.02365429684317059,-0.0,0.37232328963638317,0.0560536
2019-01-01 18:00:00,-0.0,0.005316420527901191,-0.0,0.0933919494720988,-0.0,0.27401597440259495,0.09870837
2019-01-01 19:00:00,-0.0,0.0047609736070756935,-0.0,0.0794209063929243,-0.0,0.19041502030477991,0.08418188
2019-01-01 20:00:00,-0.0,0.005118046627606371,-0.0,0.04880194337239363,-0.0,0.13904455359699716,0.05391999
2019-01-01 21:00:00,-0.0,0.0049196727273115495,-0.0,0.037016597272688447,-0.0,0.10007971436258828,0.04193627
