sample,solar_cost,wind_cost,battery_cost,diesel_marginal_cost,total_cost,solar_mw,wind_mw,diesel_mw,battery_mw
25,812577.5788831753,1371902.8756361362,616116.0240757752,270.16312884417704,62392532.88263048,184.60931368407844,284.8147558965278,85.00516935794745,62.262620421896074
26,515853.11937996873,1022431.0785738295,431015.6342666899,232.78457444597842,47741464.28891905,231.35567504629878,274.60715034655834,74.48906612669794,109.46898909024888
27,787621.2223608819,1397934.8056910755,720348.3115028833,277.4221370577328,63561270.24525107,184.2393043707192,295.5508682568522,92.63160030342912,32.15828774236315
28,663570.6850294683,856677.1611179797,832456.2451466562,256.2360466963087,48517797.108030036,181.46599509907713,345.94603029757917,100.77836653149446,-0.0
29,822173.1383908583,1138645.204518647,463023.80074278254,293.6671016033689,57404788.643957116,189.36868100807064,306.7682645383986,80.51194617465946,91.33872449970306
30,726378.7533551627,1042959.8184549182,443222.04280518816,295.77377867396206,53896670.97418202,199.11180409051076,306.7685657857711,79.3941819066579,93.20535713649426
31,833779.0344779335,1305785.9396943168,541902.5303316752,263.71790693742315,60452667.38627995,184.58991192500645,291.4075999044683,84.31759407279596,64.9767333895993
32,711246.9750465787,1106234.1598939674,566884.6059061824,239.95062287844985,53677228.524922304,179.62189250673632,299.54108488038696,86.85711825578528,54.95229582516777
33,557363.4906135981,1039959.8796763041,740961.5476356489,296.60459125778857,53462181.63665644,201.89471510605662,332.34863879658855,99.91130626538227,3.4226063136007383
34,885244.3581369775,1374827.5853237289,540626.4938259404,250.90488590043242,61834222.4086932,182.4202998931766,280.4268119088025,84.75899120495798,63.234376288959794
35,777703.5893756932,1343156.3748124614,389881.52465725085,235.27629553480213,57467170.58191204,222.7419784981069,256.2727613127199,72.39641593314822,132.46339182481233
36,828575.7880017452,1236471.6803968032,450615.6772593838,207.80059302017173,55326364.25486113,177.532444091218,276.2398019143256,85.66190383471432,59.67024748729
37,818347.6175760998,1206894.2173788578,371453.579514629,255.52331171155595,56128557.24676438,197.05290121095413,276.2398019143256,75.53727109275619,125.66149404542767
38,866023.9998491175,1437039.7500518803,365217.62855109427,281.805672319545,62082569.09464609,228.56010416551757,254.65534557204987,67.49289688420448,167.04893505381997
39,751407.5329271833,866193.653037236,577363.9883596951,252.18710730314586,49376140.94170266,161.82491454533678,333.4468733262796,89.57862775318317,44.20949517754457
40,734725.7264219082,1131576.4935505763,428776.3397377491,211.11616501636752,52054815.76877297,188.25459994254692,276.2398019143256,82.90060200481216,73.81302927467249
41,794080.6747639391,870042.1788562903,827813.9365295256,296.12055353911086,52413522.53938446,169.40600583017718,358.49261061784324,100.77836653149446,-0.0
42,596583.079146876,1129122.6398060424,394688.8897241294,230.2972483312512,50491357.965484165,237.85576733847805,256.2727613127199,70.81552643623151,134.15094989279652
43,797805.9956269377,1001693.6980202302,472076.85265526595,295.5144658635089,54209656.53329126,182.14190720945282,320.33664133673255,82.7910849400393,78.26789402196209
44,788956.6391542092,1182849.7225323694,618783.1289643749,267.3656043183255,57973785.867408484,175.0379965020942,306.96964262081497,88.12679236101329,49.9404243571625
45,555543.8713250038,1178806.8009507176,502575.2836866508,283.33919616273784,54317696.62288858,236.74045299097696,274.60715034655834,73.46773318425376,113.68673435027924
46,661642.3667122525,1079162.363649249,582943.7397599326,228.64725981665893,51981297.29219982,180.48037665122888,299.1428373368637,89.53015506303558,44.40083474391663
47,886508.7314495511,1320614.4130710615,436562.73478835355,245.730892386128,59651571.150669344,180.71273301812099,276.2398019143256,81.6105097015232,89.3838112301149
48,759842.3606223798,808254.6288014617,405046.61154634925,242.49697552010196,46590288.616963625,172.2786776531092,326.39503334250924,84.24798446978193,73.70317091455604
49,831137.9086377316,1380505.7859953453,479588.0653010801,233.67878387472012,59818752.93135111,188.06272112256605,270.57207216975576,83.23992602692543,71.37078807495814
50,649284.8790171017,1376322.1817010301,623033.5141408347,253.73725289776394,59456455.25662047,194.24092301962477,277.35219543740476,85.83699730035741,58.97908907027782
51,696222.3962238423,1260387.9296265289,631484.9520471401,227.99987295047583,56370713.627408825,180.22414391377774,286.7406154274175,91.16409522443016,37.951070948938025
52,704589.5160110698,961861.6661704574,641836.0686544286,236.71067772796331,50512153.69357339,168.9926876956946,327.0738119075222,97.33448663381478,13.59426275399873
53,746230.8119170221,863972.1688515905,727059.0066611385,277.90028012061384,50799511.26975363,170.10716943471675,356.01986003409957,100.77836653149446,-0.0
54,677061.4363126678,1012827.809879531,696365.6385750761,271.7352807043951,53206647.87829701,185.04235803190477,328.3214809981705,98.08884739778263,10.61652289623089
