,solar_cost,wind_cost,battery_cost,diesel_marginal_cost
solar_cost,-80655.40523095314,109321.273418764,-118429.33547219688,50606.15083680817
wind_cost,109321.273418764,-146541.34803288852,241585.69937258633,75169.81116824529
battery_cost,-118429.33547219688,241585.69937258633,-503798.03084507346,194747.53309633117
diesel_marginal_cost,50606.15083680817,75169.81116824529,194747.53309633117,-67321.62646356362
