sample,solar_capex,wind_capex,battery_capex,diesel_opex,total_cost,solar_mw,solar_mwh,wind_mw,wind_mwh,diesel_mw,diesel_mwh,battery_mw,battery_discharge_mwh
0,599224.3300996587,1145722.7699203053,861167.0317155716,254.2279818922766,84140461.65779385,854.8322874941515,838678.5629121274,57.56033055241154,53286.60272763923,36.92024556441355,28649.672378020306,344.4083747700708,411038.8041995267
1,624781.7493889953,1416251.5317579908,311195.0587957404,235.3698541340251,64132136.88055825,861.5560876158509,856725.9984407099,40.76052730171491,38121.360383183404,37.531960684094905,27058.854338180077,372.1222313004147,422992.30232997297
2,694721.6789094114,1414287.8951773583,789745.893463611,276.30851217019233,88801755.25400114,862.6630854548532,847024.5784408593,49.42755569041014,45842.93592045457,37.56345672712626,28300.340527463602,348.90128264079124,416157.7552361326
3,810992.044229828,989544.95620979,422456.8775136076,226.95418229807476,77228824.56938356,758.7211033334421,799977.5915683289,86.97265789458653,81585.3269712037,36.09509217557039,36748.6969465097,352.6112989631753,389719.23153389123
4,519585.5037022381,1038688.8414999703,768737.5659345209,206.18246819034576,73895264.89247547,851.540766427104,837966.7318824604,56.61937042458442,52476.22065762276,37.314715467694185,30098.86896570737,342.7585832629587,410362.933408996
5,781835.5208015584,1443512.5753985597,656338.8262875103,272.8771292273481,88735997.47354925,825.0263416776745,835233.6101581437,58.14102717232085,54355.87416956358,37.60135660889142,30909.66109646442,353.34793345527066,409967.9060893961
6,642136.9728563759,1387032.3036990867,332277.34626153664,269.1034714665707,66842594.14512972,869.4476417339777,856485.1982791902,44.94102044133949,41895.1758679347,36.2177910293458,23564.368073780224,377.1874124032621,423348.94310531404
7,537198.149412294,1037046.4198874466,509962.8839716851,290.5545699629038,66889699.942689486,899.0249550997095,855403.5708974476,48.52394517106751,44663.90301089363,35.67517887546588,21682.66347276845,355.63894170162695,421547.6008702851
8,765186.7176954602,1187987.5589318243,608606.850470406,215.40947614778128,82733464.6189464,777.4125728319389,815282.3456403526,69.72603865935686,65608.48260259026,38.19335902427704,38305.28404571649,348.72870005992144,397906.49680939765
9,800670.7100169715,1301557.6025246182,758497.2864212738,233.8130569095997,91823352.04264483,781.925870052882,815458.1357573825,68.80640306770452,64639.63701711192,38.41928446008385,39053.570843153815,344.1406004012011,397492.0996238841
