sample,solar_capex,wind_capex,battery_capex,diesel_opex,total_cost,solar_mw,solar_mwh,wind_mw,wind_mwh,diesel_mw,diesel_mwh,battery_mw,battery_discharge_mwh
0,599224.3300996587,1145722.7699203053,861167.0317155716,254.2279818922766,53969869.693996295,191.82631359355025,108705.97705128248,300.6776152608629,720663.8171330777,88.60564198722918,48717.55017778905,33.94490205820478,17386.875746060166
1,624781.7493889953,1416251.5317579908,311195.0587957404,235.3698541340251,51631237.17718205,378.29638056259887,339092.05472959956,172.5589527493184,520961.30135101615,52.798520159099496,29598.686993503736,204.0857003427808,124434.47151583654
2,694721.6789094114,1414287.8951773583,789745.893463611,276.30851217019233,61476398.56460041,219.68316717193596,142140.55224006032,267.3206980619054,689370.321484167,81.99782777828702,47976.00965102108,59.51390600229506,30341.583021158578
3,810992.044229828,989544.95620979,422456.8775136076,226.95418229807476,49752683.06620489,185.86297588427283,115297.40857436862,298.4720717356866,720830.928308572,80.44007357683363,42794.819300301315,67.67436892978344,25123.492859252045
4,519585.5037022381,1038688.8414999703,768737.5659345209,206.18246819034576,47864538.252105154,190.9308414895347,114209.41510970755,289.67395507239837,711301.5411072175,88.88619823599697,52663.31007938199,33.58849334937861,18191.46082890658
5,781835.5208015584,1443512.5753985597,656338.8262875103,272.8771292273481,62194653.38511135,225.51572196229685,156754.12001112453,256.8427284782454,677410.9355769635,77.1217154273786,46115.16216531297,78.91820715148907,37685.011495851955
6,642136.9728563759,1387032.3036990867,332277.34626153664,269.1034714665707,53195015.205875576,368.239296918652,316963.29059049214,181.38347480917102,542972.107807996,53.832481975795794,28560.929199938193,198.06878530985392,113736.69493313768
7,537198.149412294,1037046.4198874466,509962.8839716851,290.5545699629038,49383616.3812401,278.4348791374398,172801.72692426408,257.2470439186404,677196.7470825621,68.29878489497293,31345.648086726716,110.37172712484032,47532.94654187314
8,765186.7176954602,1187987.5589318243,608606.850470406,215.40947614778128,53882773.81653081,180.37264191216053,122200.5385689757,278.21949572699947,701722.139086125,85.34277126599534,54804.03979324634,48.85796674297953,23305.175338813355
9,800670.7100169715,1301557.6025246182,758497.2864212738,233.8130569095997,58323324.05167024,170.66735287687285,111678.32404329388,285.47332423510244,708331.513481365,89.13497895051096,58153.29020791523,34.42201145063776,18088.35771332828
10,508942.86186508444,896001.8729229684,604502.5416704125,200.21792750908105,43739820.82873233,199.74653973857318,118012.43026360453,292.41927607928085,714096.6375611238,85.44156608434909,46476.97206115332,46.13170803525656,22003.00610676363
11,744067.8293546927,1186243.109710976,738323.1618518899,236.97022018867526,55364551.16151318,174.92362862892435,109333.97339157481,292.85876702328255,714768.7545756648,88.57039208268498,54048.436890189725,35.859606750055605,17977.624433140027
12,881251.3343312785,1112781.174227908,499197.28653867636,259.69727609778175,55267341.34214389,186.12072690842,113845.19121684428,300.42247390175373,722471.7498193171,80.68082232248156,42544.01634002454,65.37857275911463,24547.75518368219
13,824177.9530416251,1346276.1230457288,530066.254089582,205.09498440564457,56560666.611732654,192.49784064557534,146606.54693125986,255.54999296655419,676652.7593425893,80.164343828606,56494.09836493697,69.56963260536565,32808.613178520754
