,solar_capex,wind_capex,battery_capex,diesel_opex
solar_capex,-136411.28269163307,235209.72977026753,-277950.96215198917,88334.43789030537
wind_capex,235209.72977026753,-210428.13337055666,333971.35062587727,41413.14736541488
battery_capex,-277950.96215198917,333971.35062587727,-373791.3383318312,166443.04025698412
diesel_opex,88334.43789030537,41413.14736541488,166443.04025698412,-59480.30563766767
