,solar_cost,wind_cost,battery_cost,diesel_marginal_cost
solar_cost,0.0,0.0005279260031182398,0.00032985533704269106,0.0008075678680900533
wind_cost,0.0005279260031182398,0.0,0.0002532692813927307,0.0017051969749765639
battery_cost,0.00032985533704269106,0.0002532692813927307,0.0,0.0009860450865391002
diesel_marginal_cost,0.0008075678680900533,0.0017051969749765639,0.0009860450865391002,0.0
