,solar_cost,wind_cost,battery_cost,diesel_marginal_cost
solar_cost,-68800.68037662256,89279.0081096531,-48477.332282323005,98207.67421895658
wind_cost,89279.0081096531,-121919.33192213858,76664.98759313469,183821.54319464916
battery_cost,-48477.332282323005,76664.98759313469,-206628.59436243016,133949.54127902212
diesel_marginal_cost,98207.67421895658,183821.54319464916,133949.54127902212,-225258.1844854996
