,solar_capex,wind_capex,battery_capex,diesel_opex
solar_capex,-164417.12113450657,176304.477404641,-27525.191084622773,125375.18249021628
wind_capex,176304.477404641,-111355.64917951646,64696.94270092266,-9341.756791534683
battery_capex,-27525.191084622773,64696.94270092266,-76160.38999835159,36672.00508505952
diesel_opex,125375.18249021628,-9341.756791534683,36672.00508505952,-47949.867089033214
